all_taxa	Growth.Rate	max_xyl1_estAI	max_xyl2_estAI	max_xyl3_estAI
candida mycetangii	0.227010724	0.904605263157895	0.475511695906433	0.70906432748538
candida orba	0	0.975827940616673	0.457365816520746	0.697373429767796
candida oregonensis	0.800973756	0.98681845416417	0.801078490113841	0.512083083682844
candida orthopsilosis	0.164639414	0.837533156498674	0.855216622458002	0.814544650751547
candida parapsilosis	0.618039941	0.903019396120776	0.859628074385123	0.776844631073785
candida ponderosae	NA	0.88443202367253	0.819168173598553	0.696860101923393
candida pyralidae	0.379483897	0.94239261340827	0.738458450421517	0.584102769971899
candida restingae	0.301896493	0.915170645097652	0.798185046360229	0.608404024462419
candida rhagii	0.384751819	0.972566203086302	0.873499714231282	0.798818822632883
candida salmanticensis	0	0.975931958016649	0.71751719145856	0.180057908070937
candida schatavii	0	0.947566246946063	0.911106934786694	0.584288667543695
candida sojae	0.234378605	NA	0.851851851851852	0.838991769547325
candida sorboxylosa	0.159208062	0.830130486358244	0.917437722419929	0.255516014234875
candida stellimalicola	NA	0.877861049220174	0.420295726149484	0.409560461818918
candida succiphila	0.393804245	0.964829085161035	0.935783442007508	0.801422643746295
candida tammaniensis	0.56179672	0.99595531587057	0.903890600924499	0.749036979969183
candida tanzawaensis	0	0.977004716981132	0.771029874213837	0.674331761006289
candida tenuis	0.357583687	0.961896697713802	0.923581710414903	0.745977984758679
candida tropicalis	0.173575505	0.967281879194631	0.92994966442953	0.863674496644295
candida vartiovaarae	NA	0.969268476621418	0.805995475113122	0.531485671191554
candida versatilis	NA	0.906065791975661	NA	NA
candida wancherniae	0	0.970414201183432	0.721455182993645	0.750821827744905
cephaloascus albidus	0.361234779	0.968911917098446	0.926813471502591	0.491418393782383
cephaloascus fragrans	0	0.979018427294289	0.680897646414888	0.503740193395366
citeromyces hawaiiensis	0	0.937416777629827	0.856691078561917	0.767310252996005
citeromyces matritensis	0	0.909954821623306	0.725502414706341	0.351145038167939
citeromyces siamensis	0	0.92707182320442	0.916022099447514	0.640441988950276
clavispora lusitaniae	0.20085219	0.927435610302352	0.919372900335946	0.607614781634938
cyberlindnera americana	0.695865394	0.968630311873062	0.876162684661682	0.588911180010943
cyberlindnera fabianii	0.211013736	0.919488472622478	0.735951008645533	0.667507204610951
cyberlindnera jadinii	0.15288162	0.912248628884826	0.644058500914077	0.458683729433272
cyberlindnera maclurae	0	0.967983128834356	0.563650306748466	0.459930981595092
cyberlindnera misumaiensis	0.330916567	0.922228560562845	0.683970336565887	0.479939151930025
cyberlindnera mrakii	0.173722652	0.956204379562044	0.888196546199039	0.583229481929856
cyberlindnera petersonii	0.222794836	0.979520295202952	0.818634686346863	0.672693726937269
cyberlindnera saturnus	0.138286886	0.954644351464435	0.895062761506276	0.644518828451883
cyberlindnera suaveolens	0.311985854	0.947473283825394	0.880637565658395	0.662017750407535
cyberlindnera xylosilytica	0.384959885	0.982702877465244	0.817491108955706	0.696734561913999
danielozyma ontarioensis	0	0.964755924650598	0.774964553372493	0.760380798055499
deakozyma indianensis	0.610861411	0.976254308693987	0.851206434316354	0.140559172730754
debaryomyces fabryi	0.41348061	0.952189711225856	0.907056798623064	0.666284184356474
debaryomyces hansenii	0.531917629	0.941176470588235	0.836812144212524	0.73719165085389
debaryomyces maramus	0.16481472	0.923062090242962	0.821827998457385	0.454107211723872
debaryomyces nepalensis	0.580325312	0.953728489483748	0.754110898661568	0.67093690248566
debaryomyces prosopidis	0.370437394	0.958215297450425	0.874114730878187	0.800991501416431
debaryomyces subglobosus	0.240921448	0.956993413405657	0.869624176675707	0.697404106935296
dekkera bruxellensis	NA	0.733152068362789	NA	NA
diddensiella caesifluorescens	0.325621165	0.944206743111415	0.663186719151121	0.0357692965942153
dipodascus albidus	1.644636283	0.939496314496315	0.931511056511056	0.561271498771499
dipodascus geniculatus	NA	0.962555066079295	0.926054122089364	0.735053492762744
eremothecium coryli	NA	0.923566878980892	NA	NA
eremothecium cymbalariae	NA	0.93937875751503	NA	0.0400801603206413
eremothecium gossypii	NA	0.847696347576987	0.508952017187873	0.20816423967534
eremothecium sinecaudum	NA	NA	0.673176761433869	0.602472187886279
geotrichum candidum	0	0.968018018018018	0.933633633633634	0.39009009009009
hanseniaspora clermontiae	0	0.905215646940822	NA	NA
hanseniaspora osmophila	0	0.825655719638528	NA	0.734405995150981
hanseniaspora pseudoguilliermondii	0	0.857493254844248	NA	NA
hanseniaspora singularis	0	0.882825822168088	NA	NA
hanseniaspora uvarum	NA	0.917643429981493	NA	NA
hanseniaspora valbyensis	0	0.870488807674737	NA	NA
hanseniaspora vinae	0	0.891188811188811	NA	0.78041958041958
hyphopichia burtonii	0	0.885725904839366	0.8235054900366	0.818218788125254
hyphopichia heimii	0.445830977	0.977373068432671	0.883002207505519	0.832045621780721
kazachstania aerobia	0	0.948432343234323	NA	0.52289603960396
kazachstania aerobia	NA	0.948432343234323	NA	0.52289603960396
kazachstania africana	NA	0.782259724223091	NA	0.463058242436715
kazachstania bromeliacearum	NA	0.89887869520897	NA	0.26605504587156
kazachstania bromeliacearum	0	0.89887869520897	NA	0.26605504587156
kazachstania intestinalis	0	0.949047313209163	NA	0.496039391993149
kazachstania intestinalis	NA	0.949047313209163	NA	0.496039391993149
kazachstania kunashirensis	0	0.742810524168876	NA	0.344482969610443
kazachstania kunashirensis	NA	0.742810524168876	NA	0.344482969610443
kazachstania martiniae	0	0.905875417567302	NA	0.694831990567892
kazachstania martiniae	NA	0.905875417567302	NA	0.694831990567892
kazachstania naganishii	0	0.886820393484239	NA	0.33763486354982
kazachstania rosinii	NA	0.858583820859391	0.340125075650595	0.438773451684487
kazachstania siamensis	NA	0.945766921962327	NA	0.503415441937487
kazachstania siamensis	0	0.945766921962327	NA	0.503415441937487
kazachstania solicola	NA	0.934862208518019	NA	0.548275197533243
kazachstania solicola	0	0.934862208518019	NA	0.548275197533243
kazachstania spencerorum	NA	0.732433951658235	0.220723252763725	0.256323777403035
kazachstania spencerorum	0	0.732433951658235	0.220723252763725	0.256323777403035
kazachstania taianensis	NA	0.931461601981833	NA	0.0317919075144509
kazachstania transvaalensis	0	0.887320684868117	NA	0.0867653863951874
kazachstania transvaalensis	NA	0.887320684868117	NA	0.0867653863951874
kazachstania turicensis	NA	0.897582333904436	0.301351608604607	0.161812297734628
kazachstania unispora	0	0.939561524787675	NA	0.389689907169662
kazachstania unispora	NA	0.939561524787675	NA	0.389689907169662
kazachstania viticola	NA	0.90227887215141	NA	0.436075704905369
kazachstania yakushimaensis	NA	0.68102734051367	NA	0.0575807787903894
kloeckera hatyaiensis	0	0.6654284299158	NA	NA
kluyveromyces aestuarii	0	0.873986412447951	0.591058514135437	0.151435459127767
kluyveromyces dobzhanskii	0	0.925263838035753	0.762438078828344	0.61231962093474
kluyveromyces lactis	0	0.940792246101981	0.819426885798567	0.581331647703329
kluyveromyces marxianus	0	0.983415508740475	0.75997310623039	0.901389511429852
kodamaea laetipori	0.364211383	0.873469387755102	0.920496894409938	0.670629991126885
kodamaea ohmeri	0	0.968824463860206	0.845115170770453	0.520452740270056
komagataella pastoris	0.166347026	0.583387270765912	0.459762675296656	0.41596548004315
komagataella populi	0	0.807708964919879	0.559766132524903	0.366392377652663
komagataella pseudopastoris	0	0.831088792513125	0.657384158867838	0.270486190367496
kregervanrija delftensis	0	0.936461954422557	0.912128234839706	0.676129779837775
