all_taxa	xyl1	xyl2	xyl3
kluyveromyces marxianus	1	1	1
wickerhamomyces ciferrii	1	1	1
blastobotrys mokoenaii	1	1	1
ascoidea asiatica	1	1	1
saturnispora zaruensis	1	1	1
candida hawaiiana	1	1	1
deakozyma indianensis	1	1	1
tetrapisispora fleetii	1	0	0
blastobotrys peoriensis	1	1	1
metschnikowia proteae	1	1	1
candida golubevii	1	1	1
candida gatunensis	1	1	1
pichia kudriavzevii	1	1	1
yueomyces sinensis	1	0	0
priceomyces medius	1	1	1
yarrowia deformans	1	1	1
ogataea nitratoaversa	1	1	1
metschnikowia bicuspidata	1	1	1
candida ponderosae	1	1	1
ogataea methylivora	1	1	1
hanseniaspora valbyensis	1	0	0
torulaspora maleeae	1	1	1
candida tenuis	1	1	1
scheffersomyces lignosus	1	1	1
hanseniaspora singularis	1	0	0
kazachstania intestinalis	1	0	1
tortispora starmeri	1	1	1
candida dubliniensis	1	1	1
tortispora ganteri	1	1	1
candida salmanticensis	1	1	1
aciculoconidium aculeatum	1	1	1
barnettozyma salicaria	1	1	1
candida stellimalicola	1	1	1
priceomyces castillae	1	1	1
dipodascus albidus	1	1	1
candida pyralidae	1	1	1
nakazawaea holstii	1	1	1
lipomyces japonicus	1	1	1
lachancea lanzarotensis	1	1	1
kregervanrija fluxuum	1	1	1
kuraishia molischiana	1	1	1
lachancea mirantina	1	1	1
tortispora caseinolytica	1	1	1
candida heveicola	1	1	1
candida tammaniensis	1	1	1
trigonopsis variabilis	0	1	1
vanderwaltozyma polyspora	0	1	1
eremothecium sinecaudum	0	1	1
torulaspora pretoriensis	0	1	1
candida sojae	0	1	1
trigonopsis vinaria	0	1	1
botryozyma nematodophila	0	1	1
lodderomyces elongisporus	0	1	1
saprochaete clavata	0	1	1
magnusiomyces tetrasperma	0	1	1
