all_taxa	xyl1	xyl2	xyl3	tkl1	tal1	PU.	Growth.Rate	phylo_order
ambrosiozyma philentoma	0.889729299363057	0.925338310779281	0.901695442526054	0.970757505055219	0.659832802547771	34947	0.631136889	143
candida arabinofermentans	0.969910493239383	0.933917349076366	0.863264140163778	0.951628261283565	0.97276709198248	34925	0.240637933	144
ogataea methanolica	NA	0.938237965485922	NA	0.958362738179252	NA	34900	0.112284546	145
ogataea trehalophila	0.952919020715631	0.930696798493409	0.732015065913371	0.95969868173258	0.988700564971751	34886	0.055391381	146
ogataea pilisensis	0.977454545454545	0.94201250710631	0.758953951108584	0.941823005495547	0.985018181818182	34892	0	147
ogataea nitratoaversa	0.978723404255319	0.956886898096305	0.890444195595371	0.978692668833514	0.983575961179545	34636	0.528883368	148
ogataea populialbae	0.971385256774683	0.94201250710631	0.758953951108584	0.941823005495547	0.973469774493083	34637	0	149
ogataea trehaloabstinens	0.978723404255319	0.956886898096305	0.890444195595371	0.9688839202534	0.983575961179545	34887	2.146021726	150
ogataea zsoltii	0.973864937046929	0.650515070583747	0.639450591377337	0.976726440289966	0.8893547635686	34885	0.338411329	151
ogataea glucozyma	0.957385337667028	0.777175875767425	0.755146262188516	0.978692668833514	0.920368364030336	34897	0	152
ogataea pini	0.939164237123421	0.834596695821186	0.521671525753158	0.966190476190476	0.895238095238095	34891	0	153
ogataea henricii	NA	NA	NA	NA	NA	NA	NA	154
ogataea nonfermentans	0.848594741613781	0.925338310779281	0.901695442526054	0.970757505055219	0.847144152311877	34904	0	155
ogataea minuta	0.816190476190476	0.898178506375228	0.554644808743169	0.966190476190476	0.895238095238095	34902	0	156
ogataea kodamae	0.940368098159509	0.365711623573259	0.522944785276074	0.974723926380368	0.8893547635686	34899	0	157
ogataea philodendri	0.974722328609728	0.847567981616239	0.451303766436372	0.933358866334738	0.98295672156262	34893	0	158
ogataea parapolymorpha	0.927786106946527	NA	0.782051282051282	0.968864468864469	0.987845487845488	26177	0	159
ogataea polymorpha	0.940368098159509	NA	0.571009174311927	0.974723926380368	0.967339449541284	41802	0	160
saccharomycopsis malanga	NA	NA	NA	NA	NA	NA	NA	161
saccharomycopsis capsularis	NA	NA	NA	NA	NA	NA	NA	162
ascoidea rubescens	NA	NA	NA	NA	NA	NA	NA	163
ascoidea asiatica	NA	NA	NA	NA	NA	NA	NA	164
hanseniaspora vineae	0.967894027840144	NA	0.78041958041958	0.978741258741259	0.989090909090909	26147	0	165
hanseniaspora osmophila	0.974508375819374	NA	0.722019907744598	0.966718095657924	0.995144452537024	34957	0	166
kloeckera hatyaiensis	0.928793210515421	NA	NA	0.957404655770183	0.991084695393759	35684	0	167
