all_taxa	xyl1	xyl2	xyl3	tkl1	tal1	xyl1.2	xyl2.2	xyl3.2	tal1.2	tkl1.2
metschnikowia kamakouana	0.957356895889358	0.933922397233961	0.865155589704187	0.953131002689205	0.9527468305801	NA	NA	NA	NA	NA
spencermartinsiella europaea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
metschnikowia mauinuiana	0.965479452054795	0.928584474885845	0.817351598173516	0.970228310502283	0.949771689497717	NA	NA	NA	NA	NA
saccharomycopsis capsularis	0.960066833751044	0.299081035923141	0.629406850459482	0.961904761904762	0.978111946532999	NA	NA	NA	NA	NA
ogataea naganishii	0.633676842309936	0.927474236826755	0.694925140968306	0.940307213688509	0.420766089830838	0.971223021582734	NA	NA	0.893447404238771	NA
ogataea methylivora	0.951601671309192	0.746518105849582	0.649025069637883	0.922179665738162	0.715877437325905	NA	NA	NA	0.584087743732591	0.910515320334262
blastobotrys muscicola	0.946749324431728	0.531870926720712	0.152916865363217	0.959783818152917	0.991893180734382	NA	NA	NA	NA	NA
ogataea ramenticola	0.92182532261081	0.90611557882925	0.847765101926314	0.90218814288386	0.776510192631382	NA	NA	NA	0.961847765101926	0.928745090705068
pichia membranifaciens	0.625829942171771	0.773827372028272	0.63568215892054	0.875776397515528	0.98672092525166	0.95887770400514	NA	NA	NA	NA
pichia heedii	0.967342582710779	0.854855923159018	0.776734258271078	0.889861259338314	0.968623265741729	0.989327641408751	NA	NA	NA	NA
pichia nakasei	0.936440677966102	NA	0.661515453639083	0.817298105682951	0.958624127617149	0.767696909272183	NA	NA	NA	NA
kregervanrija fluxuum	0.923568075117371	0.905539906103286	0.68018779342723	0.926760563380282	0.627793427230047	NA	NA	NA	NA	0.993615023474178
kregervanrija delftensis	0.944186944766319	0.914059482425647	0.686751641560448	0.914252607184241	0.969293163383546	NA	NA	NA	NA	NA
ogataea populiabae	0.652442556478085	0.899594516315891	0.361459741262792	0.704189998069125	0.933384823324966	0.634485421896119	NA	NA	0.621548561498359	0.907124927592199
ogataea trehaloabstinens	0.396310788149804	0.799515558039873	0.63256940562698	0.9688839202534	0.956213899757779	0.59325507732439	NA	NA	0.524501583752562	0.67002049562139
blastobotrys nivea	0.967625899280576	0.518923991241789	0.689709102283391	0.991867375664686	0.995933687832343	NA	NA	0.556302783859869	0.95417578980294	0.577259931185486
ogataea trehalophila	0.952919020715631	0.930696798493409	0.732015065913371	0.95969868173258	0.988700564971751	NA	NA	NA	0.927306967984934	0.673634651600753
candida arabinofermentans	0.969910493239383	0.933917349076366	0.863264140163778	0.951628261283565	0.97276709198248	NA	NA	NA	0.918491715863645	0.790135212340507
ogataea pilisensis	0.971385256774683	0.94201250710631	0.758953951108584	0.941823005495547	0.973469774493083	0.964373697176426	NA	NA	0.950350577979913	0.583854462762934
ogataea nitratoaversa	0.978723404255319	0.956886898096305	0.890444195595371	0.967711832773423	0.983575961179545	NA	NA	NA	0.968085106382979	0.924785367674505
